fpkmX	fpkmY	highlight	gene_short_name
ENSMUSG00000001521	5.09741	2.63788	FALSE	Tulp3
ENSMUSG00000001524	11.5218	10.40537	FALSE	Gtf2h4
ENSMUSG00000001525	47.8145	112.599	FALSE	Tubb5
ENSMUSG00000001542	5.06911	6.83694	FALSE	Ell2
ENSMUSG00000001552	5.81023	11.735	FALSE	Jup
ENSMUSG00000001555	1	1	FALSE	Fkbp10
ENSMUSG00000001558	1.0540655	1.0636585	FALSE	Klhl10
ENSMUSG00000001566	1.214171	1	FALSE	Mnx1
ENSMUSG00000001569	1.864612	11.2934	FALSE	Nom1
ENSMUSG00000001576	67.1462	51.1372	FALSE	Ergic1
ENSMUSG00000001583	5.96484	2.65861	FALSE	Tnk1
ENSMUSG00000001588	1	1	FALSE	Acap1
ENSMUSG00000001604	1.0783468	1	FALSE	Tcea3
ENSMUSG00000001622	1	1	FALSE	Csn3
ENSMUSG00000001627	29.2244	47.6887	FALSE	Ifrd1
ENSMUSG00000001630	5.27404	7.0429	FALSE	Stk38l
ENSMUSG00000001632	11.8867	6.80848	FALSE	Brpf1
ENSMUSG00000001642	20.0534	19.0017	FALSE	Akr1b3
ENSMUSG00000001655	1	1	FALSE	Hoxc13
ENSMUSG00000001656	1	1	FALSE	Hoxc11
ENSMUSG00000001657	1	1	FALSE	Hoxc8
ENSMUSG00000001661	1	1	FALSE	Hoxc6
ENSMUSG00000001663	1	1.709173	FALSE	Gstt1
ENSMUSG00000001665	1	1	FALSE	Gstt3
ENSMUSG00000001666	37.9304	21.3415	FALSE	Ddt
ENSMUSG00000001670	1	1	FALSE	Tat
ENSMUSG00000001672	1	1.01892	FALSE	Marveld3
ENSMUSG00000001674	15.058	7.95828	FALSE	Ddx18
ENSMUSG00000001687	67.038	147.007	FALSE	Ubl3
ENSMUSG00000001700	1	1.697783	FALSE	Gramd3
ENSMUSG00000001707	12.2464	16.453	FALSE	Eef1e1
ENSMUSG00000001729	20.2161	12.0303	FALSE	Akt1
ENSMUSG00000001739	1.118244	1	FALSE	Cldn15
ENSMUSG00000001741	17.1752	21.1258	FALSE	Il16
ENSMUSG00000001750	1.822251	1.862609	FALSE	Tcirg1
ENSMUSG00000001751	7.11743	1.834698	FALSE	Naglu
ENSMUSG00000001755	5.29836	16.9497	FALSE	Coasy
ENSMUSG00000001761	2.00135	1.00483717	FALSE	Smo
ENSMUSG00000001763	7.01131	4.96554	FALSE	Tspan33
ENSMUSG00000001767	11.2831	5.78086	FALSE	Crnkl1
ENSMUSG00000001768	2.17866	1.355219	FALSE	Rin2
ENSMUSG00000001773	1	1	FALSE	Folh1
ENSMUSG00000001774	46.9859	37.9653	FALSE	Chordc1
ENSMUSG00000001783	21.004	21.5166	FALSE	D10Wsu52e
ENSMUSG00000001785	7.16069	6.48916	FALSE	Pwp1
ENSMUSG00000001786	18.5697	6.31898	FALSE	Fbxo7
ENSMUSG00000001794	210.368	332.756	FALSE	Capns1
ENSMUSG00000001802	10.60588	7.19211	FALSE	Lrp3
ENSMUSG00000001804	1	1	FALSE	Dsg4
ENSMUSG00000001815	1	1	FALSE	Evx2
ENSMUSG00000001819	1	1	FALSE	Hoxd13
ENSMUSG00000001823	1	1	FALSE	Hoxd12
ENSMUSG00000001827	1	1	FALSE	Folr1
ENSMUSG00000001829	14.439	13.0908	FALSE	Clpb
ENSMUSG00000001833	71.3842	102.208	FALSE	7-Sep
ENSMUSG00000001844	30.2091	6.09335	FALSE	Zdhhc4
ENSMUSG00000001847	283.434	213.022	FALSE	Rac1
ENSMUSG00000001855	26.3461	21.1476	FALSE	Nup214
ENSMUSG00000001864	1	1	FALSE	Aif1l
ENSMUSG00000001865	1	1	FALSE	Cpa3
ENSMUSG00000001870	3.47162	1.292954	FALSE	Ltbp1
ENSMUSG00000001891	3.45586	32.2672	FALSE	Ugp2
ENSMUSG00000001901	1.403219	1.178399	FALSE	Kcnh6
ENSMUSG00000001909	25.4494	23.5603	FALSE	Trmt1
ENSMUSG00000001910	19.9655	15.6999	FALSE	Nacc1
ENSMUSG00000001911	214.593	39.6907	FALSE	Nfix
ENSMUSG00000001918	1	1.0247646	FALSE	Slc1a5
ENSMUSG00000001924	147.007	105.504	FALSE	Uba1
ENSMUSG00000001930	3.65704	2.85966	FALSE	Vwf
ENSMUSG00000001942	8.91615	6.03702	FALSE	Siae
ENSMUSG00000001943	13.1684	6.17527	FALSE	Vsig2
ENSMUSG00000001946	1.725186	3.58939	FALSE	Esam
ENSMUSG00000001948	1	2.16549	FALSE	Spa17
ENSMUSG00000001962	6.29638	14.2292	FALSE	Fam50a
ENSMUSG00000001964	21.4494	29.345	FALSE	Emd
ENSMUSG00000001983	4.08016	7.67255	FALSE	Taco1
ENSMUSG00000001985	19.2149	1.530677	FALSE	Grik3
ENSMUSG00000001986	135.105	113.405	FALSE	Gria3
ENSMUSG00000001988	1	1.83065	FALSE	Npas1
ENSMUSG00000001995	22.2182	1.442707	FALSE	Sipa1l2
ENSMUSG00000001998	8.63034	4.0349	FALSE	Ap4e1
ENSMUSG00000001999	4.76059	13.7796	FALSE	Blvra
ENSMUSG00000002006	9.70743	17.0462	FALSE	Pdzd4
ENSMUSG00000002007	3.93546	1.0879526	FALSE	Srpk3
ENSMUSG00000002010	170.961	67.788	FALSE	Idh3g
ENSMUSG00000002012	62.5401	78.7476	FALSE	Pnck
ENSMUSG00000002014	32.0328	24.0019	FALSE	Ssr4
ENSMUSG00000002015	11.5265	58.7599	FALSE	Bcap31
ENSMUSG00000002017	18.9631	10.74556	FALSE	Fam98a
ENSMUSG00000002020	1.024796	1.0402617	FALSE	Ltbp2
ENSMUSG00000002028	49.1307	26.6332	FALSE	Mll1
ENSMUSG00000002031	8.38226	26.9853	FALSE	Ift46
ENSMUSG00000002032	11.6672	16.2266	FALSE	Tmem25
ENSMUSG00000002033	1	1	FALSE	Cd3g
ENSMUSG00000002043	9.11679	5.24296	FALSE	Trappc6a
ENSMUSG00000002052	49.8034	32.7194	FALSE	Supt6h
ENSMUSG00000002055	8.1522	1.832962	FALSE	Spag5
ENSMUSG00000002057	1	1.00484076	FALSE	Foxn1
ENSMUSG00000002058	1.948479	6.65496	FALSE	Unc119
